HOME,VISITOR,DATE,TIME (CT)
STL,EDM,10/8/2015,7:00 PM
MIN,STL,10/10/2015,7:00 PM
CGY,STL,10/13/2015,8:00 PM
EDM,STL,10/15/2015,8:00 PM
VAN,STL,10/16/2015,9:00 PM
WPG,STL,10/18/2015,2:00 PM
MON,STL,10/20/2015,6:30 PM
STL,NYI,10/24/2015,7:00 PM
STL,TBL,10/27/2015,7:00 PM
STL,ANH,10/29/2015,7:00 PM
STL,MIN,10/31/2015,7:00 PM
STL,LAK,11/3/2015,7:00 PM
CHI,STL,11/4/2015,7:00 PM
NSH,STL,11/7/2015,7:00 PM
NJD,STL,11/10/2015,6:00 PM
NYR,STL,11/12/2015,6:00 PM
STL,CHI,11/14/2015,7:00 PM
STL,WPG,11/16/2015,7:00 PM
CBJ,STL,11/17/2015,6:00 PM
STL,BUF,11/19/2015,7:00 PM
STL,DET,11/21/2015,7:00 PM
BUF,STL,11/23/2015,6:00 PM
PIT,STL,11/25/2015,6:00 PM
STL,CBJ,11/28/2015,7:00 PM
STL,FLA,12/1/2015,7:00 PM
NYI,STL,12/4/2015,6:30 PM
STL,TOR,12/5/2015,6:00 PM
STL,ARI,12/8/2015,7:00 PM
STL,PHI,12/10/2015,7:00 PM
STL,DAL,12/12/2015,7:00 PM
STL,COL,12/13/2015,5:00 PM
WPG,STL,12/15/2015,7:00 PM
STL,NSH,12/17/2015,7:00 PM
STL,CGY,12/19/2015,2:00 PM
PHI,STL,12/21/2015,6:00 PM
BOS,STL,12/22/2015,6:00 PM
STL,DAL,12/26/2015,7:00 PM
DAL,STL,12/27/2015,5:00 PM
STL,NSH,12/29/2015,7:00 PM
STL,MIN,12/31/2015,7:00 PM
TOR,STL,1/2/2016,6:00 PM
STL,OTT,1/4/2016,7:00 PM
COL,STL,1/6/2016,9:00 PM
ANH,STL,1/8/2016,9:00 PM
LAK,STL,1/9/2016,9:30 PM
STL,NJD,1/12/2016,7:00 PM
STL,CAR,1/14/2016,7:00 PM
STL,MON,1/16/2016,6:00 PM
STL,PIT,1/18/2016,7:00 PM
DET,STL,1/20/2016,7:00 PM
COL,STL,1/22/2016,8:00 PM
CHI,STL,1/24/2016,6:00 PM
NSH,STL,2/2/2016,7:00 PM
STL,SJS,2/4/2016,7:00 PM
STL,MIN,2/6/2016,7:00 PM
STL,WPG,2/9/2016,7:00 PM
FLA,STL,2/12/2016,6:30 PM
TBL,STL,2/14/2016,5:00 PM
STL,DAL,2/16/2016,7:00 PM
STL,LAK,2/18/2016,7:00 PM
ARI,STL,2/20/2016,8:00 PM
STL,SJS,2/22/2016,7:00 PM
STL,NYR,2/25/2016,7:00 PM
NSH,STL,2/27/2016,2:00 PM
CAR,STL,2/28/2016,2:00 PM
OTT,STL,3/1/2016,6:30 PM
MIN,STL,3/6/2016,7:00 PM
STL,CHI,3/9/2016,7:00 PM
STL,ANH,3/11/2016,7:00 PM
DAL,STL,3/12/2016,8:00 PM
CGY,STL,3/14/2016,8:00 PM
EDM,STL,3/16/2016,8:30 PM
VAN,STL,3/19/2016,9:00 PM
SJS,STL,3/22/2016,9:30 PM
STL,VAN,3/25/2016,7:00 PM
WSH,STL,3/26/2016,6:00 PM
STL,COL,3/29/2016,7:00 PM
STL,BOS,4/1/2016,7:00 PM
COL,STL,4/3/2016,7:00 PM
STL,ARI,4/4/2016,7:00 PM
CHI,STL,4/7/2016,7:30 PM
STL,WSH,4/9/2016,7:00 PM
